direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
AMADEU CASTELLANOS 2|08400|GRANOLLERS,41.602966,2.290860,41.602800,2.290821,18.72,Carrer del Foment,,1
ANSELM CLAVE 3|08106|SANTA MARIA DE MARTORELLES,41.519886,2.254604,41.519886,2.254605,0.08,Carrer de Josep Anselm Clavé,,1
ANSELM CLAVE 77|08400|GRANOLLERS,41.606885,2.288425,41.606826,2.289345,76.95,Plaça Pau Casals,,1
ANTONI GAUDI 10|08100|MOLLET DEL VALLES,41.544608,2.217888,41.544775,2.217597,30.56,Avinguda d'Antoni Gaudí,,1
AUTOVIA C-17 KM 81|08580|SANT QUIRZE DE BESORA,42.101426,2.217029,42.101514,2.217168,15.09,Carrer del Mestre Quer,,1
AUTOVIA C-17 S/N|08580|SANT QUIRZE DE BESORA,42.101426,2.217029,42.101514,2.217168,15.09,Carrer del Mestre Quer,,1
AVENIDA ANTONI GAUDI 19|08100|MOLLET DEL VALLES,41.545569,2.217966,41.545442,2.218194,23.69,Avinguda d'Antoni Gaudí,,1
AVENIDA ANTONI GAUDI 30-32|08100|MOLLET DEL VALLES,41.546329,2.219483,41.546439,2.219291,20.15,Avinguda d'Antoni Gaudí,,1
AVENIDA ANTONI GAUDI 46|08100|MOLLET DEL VALLES,41.547647,2.220435,41.547647,2.220435,0.00,Avinguda d'Antoni Gaudí,,1
AVENIDA ANTONI GAUDI 57|08100|MOLLET DEL VALLES,41.547647,2.220435,41.547647,2.220435,0.00,Avinguda d'Antoni Gaudí,,1
AVENIDA ANTONI GAUDI 62|08100|MOLLET DEL VALLES,41.548012,2.221219,41.548122,2.221030,19.95,Avinguda d'Antoni Gaudí,,1
AVENIDA BADALONA 8|08100|MOLLET DEL VALLES,41.530751,2.218028,41.530751,2.218028,0.00,Avinguda de Badalona,,1
"AVENIDA BALNEARI, S/N S/N|08551|TONA",41.859316,2.228736,41.859316,2.228736,0.00,Avinguda Balnearis,,1
AVENIDA BURGOS 76|08100|MOLLET DEL VALLES,41.533068,2.207930,41.533068,2.207930,0.00,Avinguda de Burgos,,1
AVENIDA CALDERO 48|08100|MOLLET DEL VALLES,41.535314,2.212765,41.535271,2.212857,9.04,Avinguda de Calderó,,1
AVENIDA CALDES DE MONTBUI 18|08100|MOLLET DEL VALLES,41.543378,2.207743,41.543342,2.207689,6.02,Avinguda de Caldes de Montbui,,1
AVENIDA CANOVELLES 86|08420|CANOVELLES,41.616406,2.277552,41.616394,2.277196,29.70,Avinguda de Canovelles,,1
AVENIDA CANTALLOPS S/N|08185|LLICA DE VALL,41.579884,2.233200,41.579884,2.233200,0.00,Avinguda de Cantallops,,1
AVENIDA CATALUNYA 14|08185|LLICA DE VALL,41.582010,2.237337,41.582010,2.237337,0.00,Avinguda de Catalunya,,1
AVENIDA CATALUNYA 24|08150|PARETS DEL VALLES,41.556043,2.225913,41.556304,2.225681,34.85,Avinguda de l'Estació,,1
AVENIDA CATALUNYA 63|08185|LLICA DE VALL,41.582010,2.237337,41.582010,2.237337,0.00,Avinguda de Catalunya,,1
AVENIDA ENRIC PRAT DE LA RIBA 77|08401|GRANOLLERS,41.602244,2.284853,41.602193,2.285283,36.28,Carrer de Mare de Déu de Montserrat,,1
AVENIDA EUROPA 21|08401|GRANOLLERS,41.595284,2.281489,41.595284,2.281490,0.08,Avinguda Europa,,1
AVENIDA JAUME I 154|08100|MOLLET DEL VALLES,41.542549,2.215431,41.542497,2.215390,6.71,Carrer de Roger de Llúria,,1
AVENIDA JAUME I 207|08100|MOLLET DEL VALLES,41.544220,2.216728,41.544137,2.216873,15.21,Avinguda de Jaume I,,1
AVENIDA JAUME I 3-5|08100|MOLLET DEL VALLES,41.538165,2.211349,41.538032,2.211662,30.01,Avinguda de Jaume I,,1
AVENIDA LLIBERTAT 14|08100|MOLLET DEL VALLES,41.536598,2.211526,41.536754,2.211628,19.30,,,1
AVENIDA LLIBERTAT 24|08100|MOLLET DEL VALLES,41.537615,2.212828,41.537615,2.212829,0.08,Avinguda de la Llibertat,,1
AVENIDA LLIBERTAT 28|08100|MOLLET DEL VALLES,41.534016,2.210249,41.534123,2.210311,12.96,,,1
AVENIDA LLIBERTAT 45|08100|MOLLET DEL VALLES,41.537615,2.212828,41.537615,2.212829,0.08,Avinguda de la Llibertat,,1
AVENIDA LLIBERTAT 4|08100|MOLLET DEL VALLES,41.537528,2.212614,41.537477,2.212748,12.54,Avinguda de la Llibertat,,1
AVENIDA LLUIS COMPANYS 39|08150|PARETS DEL VALLES,41.571211,2.231809,41.571211,2.231810,0.08,Avinguda de Lluís Companys,,1
AVENIDA MIL.LENARI 12|08160|MONTMELO,41.552208,2.242234,41.552208,2.242234,0.00,Avinguda Mil·lenari,,1
AVENIDA MIL.LENARI 15|08160|MONTMELO,41.552208,2.242234,41.552208,2.242234,0.00,Avinguda Mil·lenari,,1
AVENIDA MONTSERRAT 7|08570|TORELLO,42.051853,2.253398,42.051853,2.253398,0.00,Avinguda de Montserrat,,1
AVENIDA OLIMPIA S/N|08500|VIC,41.933909,2.242707,41.934284,2.242996,48.06,Carrer de la Fura,,1
AVENIDA PAISOS CATALANS 95|08500|VIC,41.920697,2.249137,41.920697,2.249138,0.08,Avinguda dels Països Catalans,,1
AVENIDA PARC S/N|08402|GRANOLLERS,41.606800,2.290578,41.606800,2.290578,0.00,Avinguda del Parc,,1
